SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Druh,IsOutlier
"(5.069, 5.776]","(3.173, 3.582]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(4.361, 5.069]","(2.764, 3.173]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(4.361, 5.069]","(3.173, 3.582]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(4.361, 5.069]","(2.764, 3.173]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(4.361, 5.069]","(3.582, 3.991]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(5.069, 5.776]","(3.582, 3.991]","(0.994, 1.979]","(0.366, 0.721]",Iris-setosa,False
"(4.361, 5.069]","(3.173, 3.582]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(4.361, 5.069]","(3.173, 3.582]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(4.361, 5.069]","(2.764, 3.173]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(4.361, 5.069]","(2.764, 3.173]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(5.069, 5.776]","(3.582, 3.991]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(4.361, 5.069]","(3.173, 3.582]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(4.361, 5.069]","(2.764, 3.173]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(3.653, 4.361]","(2.764, 3.173]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(5.776, 6.484]","(3.991, 4.4]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(5.069, 5.776]","(3.991, 4.4]","(0.994, 1.979]","(0.366, 0.721]",Iris-setosa,False
"(5.069, 5.776]","(3.582, 3.991]","(0.994, 1.979]","(0.366, 0.721]",Iris-setosa,False
"(5.069, 5.776]","(3.173, 3.582]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(5.069, 5.776]","(3.582, 3.991]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(5.069, 5.776]","(3.582, 3.991]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(5.069, 5.776]","(3.173, 3.582]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(5.069, 5.776]","(3.582, 3.991]","(0.994, 1.979]","(0.366, 0.721]",Iris-setosa,False
"(4.361, 5.069]","(3.582, 3.991]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(5.069, 5.776]","(3.173, 3.582]","(0.994, 1.979]","(0.366, 0.721]",Iris-setosa,False
"(4.361, 5.069]","(3.173, 3.582]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(4.361, 5.069]","(2.764, 3.173]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(4.361, 5.069]","(3.173, 3.582]","(0.994, 1.979]","(0.366, 0.721]",Iris-setosa,False
"(5.069, 5.776]","(3.173, 3.582]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(5.069, 5.776]","(3.173, 3.582]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(4.361, 5.069]","(3.173, 3.582]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(4.361, 5.069]","(2.764, 3.173]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(5.069, 5.776]","(3.173, 3.582]","(0.994, 1.979]","(0.366, 0.721]",Iris-setosa,False
"(5.069, 5.776]","(3.991, 4.4]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(5.069, 5.776]","(3.991, 4.4]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(4.361, 5.069]","(2.764, 3.173]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
"(4.361, 5.069]","(3.173, 3.582]","(0.994, 1.979]","(0.00751, 0.366]",Iris-setosa,False
