SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Druh,IsOutlier
"(4.857, 5.413]","(3.329, 3.686]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.857, 5.413]","(2.972, 3.329]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.296, 4.857]","(2.972, 3.329]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.296, 4.857]","(2.972, 3.329]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.857, 5.413]","(3.329, 3.686]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.857, 5.413]","(3.686, 4.043]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.296, 4.857]","(3.329, 3.686]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.857, 5.413]","(3.329, 3.686]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.296, 4.857]","(2.615, 2.972]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.857, 5.413]","(2.972, 3.329]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.857, 5.413]","(3.686, 4.043]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.296, 4.857]","(3.329, 3.686]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.296, 4.857]","(2.972, 3.329]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.296, 4.857]","(2.972, 3.329]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(5.413, 5.97]","(3.686, 4.043]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(5.413, 5.97]","(4.043, 4.4]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.857, 5.413]","(3.686, 4.043]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.857, 5.413]","(3.329, 3.686]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(5.413, 5.97]","(3.686, 4.043]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.857, 5.413]","(3.686, 4.043]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.857, 5.413]","(3.329, 3.686]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.857, 5.413]","(3.686, 4.043]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.296, 4.857]","(3.329, 3.686]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.857, 5.413]","(2.972, 3.329]","(0.992, 2.122]","(0.474, 0.847]",Iris-setosa,False
"(4.296, 4.857]","(3.329, 3.686]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.857, 5.413]","(2.972, 3.329]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.857, 5.413]","(3.329, 3.686]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.857, 5.413]","(3.329, 3.686]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.857, 5.413]","(3.329, 3.686]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.296, 4.857]","(2.972, 3.329]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
"(4.296, 4.857]","(2.972, 3.329]","(0.992, 2.122]","(0.0974, 0.474]",Iris-setosa,False
