SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Druh,IsOutlier
"(4.693, 5.228]","(3.371, 3.714]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(4.693, 5.228]","(2.686, 3.029]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(4.693, 5.228]","(3.029, 3.371]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(4.155, 4.693]","(3.029, 3.371]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(4.693, 5.228]","(3.371, 3.714]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(5.228, 5.762]","(3.714, 4.057]","(0.876, 1.742]","(0.284, 0.727]",Iris-setosa,False
"(4.155, 4.693]","(3.371, 3.714]","(0.876, 1.742]","(0.284, 0.727]",Iris-setosa,False
"(4.693, 5.228]","(3.371, 3.714]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(4.155, 4.693]","(2.686, 3.029]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(4.693, 5.228]","(3.029, 3.371]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(5.228, 5.762]","(3.371, 3.714]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(4.693, 5.228]","(3.371, 3.714]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(4.693, 5.228]","(2.686, 3.029]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(4.155, 4.693]","(2.686, 3.029]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(5.762, 6.297]","(3.714, 4.057]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(5.228, 5.762]","(4.057, 4.4]","(0.876, 1.742]","(0.284, 0.727]",Iris-setosa,False
"(5.228, 5.762]","(3.714, 4.057]","(0.876, 1.742]","(0.284, 0.727]",Iris-setosa,False
"(4.693, 5.228]","(3.371, 3.714]","(0.876, 1.742]","(0.284, 0.727]",Iris-setosa,False
"(5.228, 5.762]","(3.714, 4.057]","(0.876, 1.742]","(0.284, 0.727]",Iris-setosa,False
"(4.693, 5.228]","(3.714, 4.057]","(0.876, 1.742]","(0.284, 0.727]",Iris-setosa,False
"(5.228, 5.762]","(3.371, 3.714]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(4.693, 5.228]","(3.371, 3.714]","(0.876, 1.742]","(0.284, 0.727]",Iris-setosa,False
"(4.155, 4.693]","(3.371, 3.714]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(4.693, 5.228]","(3.029, 3.371]","(0.876, 1.742]","(0.284, 0.727]",Iris-setosa,False
"(4.693, 5.228]","(3.371, 3.714]","(1.742, 2.601]","(-0.16, 0.284]",Iris-setosa,False
"(4.693, 5.228]","(2.686, 3.029]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(4.693, 5.228]","(3.371, 3.714]","(0.876, 1.742]","(0.284, 0.727]",Iris-setosa,False
"(4.693, 5.228]","(3.371, 3.714]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(4.693, 5.228]","(3.371, 3.714]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(4.693, 5.228]","(3.029, 3.371]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(4.693, 5.228]","(3.029, 3.371]","(0.876, 1.742]","(-0.16, 0.284]",Iris-setosa,False
"(5.228, 5.762]","(3.371, 3.714]","(0.876, 1.742]","(0.284, 0.727]",Iris-setosa,False
