SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Druh,IsOutlier
"(4.661, 5.309]","(3.371, 3.714]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(2.686, 3.029]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.029, 3.371]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.013, 4.661]","(3.029, 3.371]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.371, 3.714]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(5.309, 5.957]","(3.714, 4.057]","(1.295, 2.47]","(0.366, 0.721]",Iris-setosa,False
"(4.013, 4.661]","(3.371, 3.714]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.371, 3.714]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.013, 4.661]","(2.686, 3.029]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.029, 3.371]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(5.309, 5.957]","(3.371, 3.714]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.371, 3.714]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(2.686, 3.029]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.013, 4.661]","(2.686, 3.029]","(0.111, 1.295]","(0.00751, 0.366]",Iris-setosa,False
"(5.309, 5.957]","(3.714, 4.057]","(0.111, 1.295]","(0.00751, 0.366]",Iris-setosa,False
"(5.309, 5.957]","(4.057, 4.4]","(1.295, 2.47]","(0.366, 0.721]",Iris-setosa,False
"(5.309, 5.957]","(3.714, 4.057]","(1.295, 2.47]","(0.366, 0.721]",Iris-setosa,False
"(4.661, 5.309]","(3.371, 3.714]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(5.309, 5.957]","(3.714, 4.057]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.714, 4.057]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(5.309, 5.957]","(3.371, 3.714]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.371, 3.714]","(1.295, 2.47]","(0.366, 0.721]",Iris-setosa,False
"(4.013, 4.661]","(3.371, 3.714]","(0.111, 1.295]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.029, 3.371]","(1.295, 2.47]","(0.366, 0.721]",Iris-setosa,False
"(4.661, 5.309]","(3.371, 3.714]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(2.686, 3.029]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.371, 3.714]","(1.295, 2.47]","(0.366, 0.721]",Iris-setosa,False
"(4.661, 5.309]","(3.371, 3.714]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.371, 3.714]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.029, 3.371]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.029, 3.371]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(5.309, 5.957]","(3.371, 3.714]","(1.295, 2.47]","(0.366, 0.721]",Iris-setosa,False
"(4.661, 5.309]","(4.057, 4.4]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(5.309, 5.957]","(4.057, 4.4]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.029, 3.371]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.029, 3.371]","(0.111, 1.295]","(0.00751, 0.366]",Iris-setosa,False
"(5.309, 5.957]","(3.371, 3.714]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.029, 3.371]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.013, 4.661]","(2.686, 3.029]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.371, 3.714]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.371, 3.714]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.013, 4.661]","(1.998, 2.343]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.013, 4.661]","(3.029, 3.371]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.371, 3.714]","(1.295, 2.47]","(0.366, 0.721]",Iris-setosa,False
"(4.661, 5.309]","(3.714, 4.057]","(1.295, 2.47]","(0.366, 0.721]",Iris-setosa,False
"(4.661, 5.309]","(2.686, 3.029]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.714, 4.057]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.013, 4.661]","(3.029, 3.371]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.371, 3.714]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(4.661, 5.309]","(3.029, 3.371]","(1.295, 2.47]","(0.00751, 0.366]",Iris-setosa,False
"(6.604, 7.252]","(3.029, 3.371]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.957, 6.604]","(3.029, 3.371]","(3.645, 4.82]","(1.433, 1.789]",Iris-versicolor,False
"(6.604, 7.252]","(3.029, 3.371]","(4.82, 5.995]","(1.433, 1.789]",Iris-versicolor,False
"(5.309, 5.957]","(1.998, 2.343]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.957, 6.604]","(2.686, 3.029]","(3.645, 4.82]","(1.433, 1.789]",Iris-versicolor,False
"(5.309, 5.957]","(2.686, 3.029]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.957, 6.604]","(3.029, 3.371]","(3.645, 4.82]","(1.433, 1.789]",Iris-versicolor,False
"(4.661, 5.309]","(2.343, 2.686]","(2.47, 3.645]","(0.721, 1.077]",Iris-versicolor,False
"(5.957, 6.604]","(2.686, 3.029]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(4.661, 5.309]","(2.686, 3.029]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(4.661, 5.309]","(1.998, 2.343]","(2.47, 3.645]","(0.721, 1.077]",Iris-versicolor,False
"(5.309, 5.957]","(2.686, 3.029]","(3.645, 4.82]","(1.433, 1.789]",Iris-versicolor,False
"(5.957, 6.604]","(1.998, 2.343]","(3.645, 4.82]","(0.721, 1.077]",Iris-versicolor,False
"(5.957, 6.604]","(2.686, 3.029]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.309, 5.957]","(2.686, 3.029]","(2.47, 3.645]","(1.077, 1.433]",Iris-versicolor,False
"(6.604, 7.252]","(3.029, 3.371]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.309, 5.957]","(2.686, 3.029]","(3.645, 4.82]","(1.433, 1.789]",Iris-versicolor,False
"(5.309, 5.957]","(2.686, 3.029]","(3.645, 4.82]","(0.721, 1.077]",Iris-versicolor,False
"(5.957, 6.604]","(1.998, 2.343]","(3.645, 4.82]","(1.433, 1.789]",Iris-versicolor,False
"(5.309, 5.957]","(2.343, 2.686]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.309, 5.957]","(3.029, 3.371]","(3.645, 4.82]","(1.789, 2.144]",Iris-versicolor,False
"(5.957, 6.604]","(2.686, 3.029]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.957, 6.604]","(2.343, 2.686]","(4.82, 5.995]","(1.433, 1.789]",Iris-versicolor,False
"(5.957, 6.604]","(2.686, 3.029]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.957, 6.604]","(2.686, 3.029]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.957, 6.604]","(2.686, 3.029]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(6.604, 7.252]","(2.686, 3.029]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(6.604, 7.252]","(2.686, 3.029]","(4.82, 5.995]","(1.433, 1.789]",Iris-versicolor,False
"(5.957, 6.604]","(2.686, 3.029]","(3.645, 4.82]","(1.433, 1.789]",Iris-versicolor,False
"(5.309, 5.957]","(2.343, 2.686]","(2.47, 3.645]","(0.721, 1.077]",Iris-versicolor,False
"(5.309, 5.957]","(2.343, 2.686]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.309, 5.957]","(2.343, 2.686]","(3.645, 4.82]","(0.721, 1.077]",Iris-versicolor,False
"(5.309, 5.957]","(2.686, 3.029]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.957, 6.604]","(2.686, 3.029]","(4.82, 5.995]","(1.433, 1.789]",Iris-versicolor,False
"(5.309, 5.957]","(2.686, 3.029]","(3.645, 4.82]","(1.433, 1.789]",Iris-versicolor,False
"(5.957, 6.604]","(3.371, 3.714]","(3.645, 4.82]","(1.433, 1.789]",Iris-versicolor,False
"(6.604, 7.252]","(3.029, 3.371]","(3.645, 4.82]","(1.433, 1.789]",Iris-versicolor,False
"(5.957, 6.604]","(1.998, 2.343]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.309, 5.957]","(2.686, 3.029]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.309, 5.957]","(2.343, 2.686]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.309, 5.957]","(2.343, 2.686]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.957, 6.604]","(2.686, 3.029]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.309, 5.957]","(2.343, 2.686]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(4.661, 5.309]","(1.998, 2.343]","(2.47, 3.645]","(0.721, 1.077]",Iris-versicolor,False
"(5.309, 5.957]","(2.686, 3.029]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.309, 5.957]","(2.686, 3.029]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.309, 5.957]","(2.686, 3.029]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.957, 6.604]","(2.686, 3.029]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(4.661, 5.309]","(2.343, 2.686]","(2.47, 3.645]","(1.077, 1.433]",Iris-versicolor,False
"(5.309, 5.957]","(2.686, 3.029]","(3.645, 4.82]","(1.077, 1.433]",Iris-versicolor,False
"(5.957, 6.604]","(3.029, 3.371]","(5.995, 7.17]","(2.144, 2.5]",Iris-virginica,False
"(5.309, 5.957]","(2.686, 3.029]","(4.82, 5.995]","(1.789, 2.144]",Iris-virginica,False
"(6.604, 7.252]","(2.686, 3.029]","(4.82, 5.995]","(1.789, 2.144]",Iris-virginica,False
"(5.957, 6.604]","(2.686, 3.029]","(4.82, 5.995]","(1.789, 2.144]",Iris-virginica,False
"(5.957, 6.604]","(2.686, 3.029]","(4.82, 5.995]","(2.144, 2.5]",Iris-virginica,False
"(7.252, 7.9]","(2.686, 3.029]","(5.995, 7.17]","(1.789, 2.144]",Iris-virginica,False
"(4.661, 5.309]","(2.343, 2.686]","(3.645, 4.82]","(1.433, 1.789]",Iris-virginica,False
"(7.252, 7.9]","(2.686, 3.029]","(5.995, 7.17]","(1.789, 2.144]",Iris-virginica,False
"(6.604, 7.252]","(2.343, 2.686]","(4.82, 5.995]","(1.789, 2.144]",Iris-virginica,False
"(6.604, 7.252]","(3.371, 3.714]","(5.995, 7.17]","(2.144, 2.5]",Iris-virginica,False
"(5.957, 6.604]","(3.029, 3.371]","(4.82, 5.995]","(1.789, 2.144]",Iris-virginica,False
"(5.957, 6.604]","(2.686, 3.029]","(4.82, 5.995]","(1.789, 2.144]",Iris-virginica,False
"(6.604, 7.252]","(2.686, 3.029]","(4.82, 5.995]","(1.789, 2.144]",Iris-virginica,False
"(5.309, 5.957]","(2.343, 2.686]","(4.82, 5.995]","(1.789, 2.144]",Iris-virginica,False
"(5.309, 5.957]","(2.686, 3.029]","(4.82, 5.995]","(2.144, 2.5]",Iris-virginica,False
"(5.957, 6.604]","(3.029, 3.371]","(4.82, 5.995]","(2.144, 2.5]",Iris-virginica,False
"(5.957, 6.604]","(2.686, 3.029]","(4.82, 5.995]","(1.789, 2.144]",Iris-virginica,False
