SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Druh,IsOutlier
"(4.293, 5.293]","(3.411, 3.906]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(4.293, 5.293]","(2.917, 3.411]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(4.293, 5.293]","(2.917, 3.411]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(4.293, 5.293]","(2.917, 3.411]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(4.293, 5.293]","(3.411, 3.906]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(5.293, 6.293]","(3.411, 3.906]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(4.293, 5.293]","(2.917, 3.411]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(4.293, 5.293]","(2.917, 3.411]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(4.293, 5.293]","(2.422, 2.917]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(4.293, 5.293]","(2.917, 3.411]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(5.293, 6.293]","(3.411, 3.906]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(4.293, 5.293]","(2.917, 3.411]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(4.293, 5.293]","(2.917, 3.411]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(4.293, 5.293]","(2.917, 3.411]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(5.293, 6.293]","(3.906, 4.4]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(5.293, 6.293]","(3.906, 4.4]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(5.293, 6.293]","(3.411, 3.906]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(4.293, 5.293]","(3.411, 3.906]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(5.293, 6.293]","(3.411, 3.906]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(4.293, 5.293]","(3.411, 3.906]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(5.293, 6.293]","(2.917, 3.411]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(4.293, 5.293]","(3.411, 3.906]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
"(4.293, 5.293]","(3.411, 3.906]","(0.33, 1.704]","(0.0964, 0.62]",Iris-setosa,False
