SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Druh,IsOutlier
"(4.814, 5.329]","(3.371, 3.714]","(1.384, 2.303]","(0.175, 0.64]",Iris-setosa,False
"(4.814, 5.329]","(2.686, 3.029]","(1.384, 2.303]","(0.175, 0.64]",Iris-setosa,False
"(4.296, 4.814]","(3.029, 3.371]","(0.458, 1.384]","(0.175, 0.64]",Iris-setosa,False
"(4.296, 4.814]","(3.029, 3.371]","(1.384, 2.303]","(0.175, 0.64]",Iris-setosa,False
"(4.814, 5.329]","(3.371, 3.714]","(1.384, 2.303]","(0.175, 0.64]",Iris-setosa,False
"(5.329, 5.843]","(3.714, 4.057]","(1.384, 2.303]","(0.175, 0.64]",Iris-setosa,False
"(4.296, 4.814]","(3.371, 3.714]","(1.384, 2.303]","(0.175, 0.64]",Iris-setosa,False
"(4.814, 5.329]","(3.371, 3.714]","(1.384, 2.303]","(0.175, 0.64]",Iris-setosa,False
"(4.296, 4.814]","(2.686, 3.029]","(1.384, 2.303]","(0.175, 0.64]",Iris-setosa,False
"(4.814, 5.329]","(3.029, 3.371]","(1.384, 2.303]","(-0.29, 0.175]",Iris-setosa,False
"(5.329, 5.843]","(3.371, 3.714]","(1.384, 2.303]","(0.175, 0.64]",Iris-setosa,False
"(4.296, 4.814]","(3.371, 3.714]","(1.384, 2.303]","(0.175, 0.64]",Iris-setosa,False
"(4.296, 4.814]","(2.686, 3.029]","(1.384, 2.303]","(-0.29, 0.175]",Iris-setosa,False
"(4.296, 4.814]","(2.686, 3.029]","(0.458, 1.384]","(-0.29, 0.175]",Iris-setosa,False
"(5.329, 5.843]","(3.714, 4.057]","(0.458, 1.384]","(0.175, 0.64]",Iris-setosa,False
"(5.329, 5.843]","(4.057, 4.4]","(1.384, 2.303]","(0.175, 0.64]",Iris-setosa,False
"(5.329, 5.843]","(3.714, 4.057]","(0.458, 1.384]","(0.175, 0.64]",Iris-setosa,False
"(4.814, 5.329]","(3.371, 3.714]","(1.384, 2.303]","(0.175, 0.64]",Iris-setosa,False
