SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Druh,IsOutlier
"(4.827, 5.353]","(3.394, 3.858]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
"(4.827, 5.353]","(2.929, 3.394]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
"(4.296, 4.827]","(2.929, 3.394]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
"(4.296, 4.827]","(2.929, 3.394]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
"(4.827, 5.353]","(3.394, 3.858]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
"(5.353, 5.88]","(3.858, 4.323]","(0.993, 2.03]","(0.366, 0.721]",Iris-setosa,False
"(4.296, 4.827]","(3.394, 3.858]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
"(4.827, 5.353]","(3.394, 3.858]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
"(4.296, 4.827]","(2.465, 2.929]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
"(4.827, 5.353]","(2.929, 3.394]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
"(5.353, 5.88]","(3.394, 3.858]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
"(4.296, 4.827]","(3.394, 3.858]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
"(4.296, 4.827]","(2.929, 3.394]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
"(4.296, 4.827]","(2.929, 3.394]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
"(5.353, 5.88]","(3.858, 4.323]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
"(5.353, 5.88]","(4.323, 4.787]","(0.993, 2.03]","(0.366, 0.721]",Iris-setosa,False
"(5.353, 5.88]","(3.858, 4.323]","(0.993, 2.03]","(0.366, 0.721]",Iris-setosa,False
"(4.827, 5.353]","(3.394, 3.858]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
"(5.353, 5.88]","(3.394, 3.858]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
"(4.827, 5.353]","(3.394, 3.858]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
"(5.353, 5.88]","(3.394, 3.858]","(0.993, 2.03]","(0.00751, 0.366]",Iris-setosa,False
