SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Druh,IsOutlier
"(4.496, 5.177]","(3.434, 4.052]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(4.496, 5.177]","(2.817, 3.434]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(4.496, 5.177]","(2.817, 3.434]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(4.496, 5.177]","(2.817, 3.434]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(4.496, 5.177]","(3.434, 4.052]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(5.177, 5.858]","(3.434, 4.052]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(4.496, 5.177]","(2.817, 3.434]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(4.496, 5.177]","(2.817, 3.434]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(3.815, 4.496]","(2.817, 3.434]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(4.496, 5.177]","(2.817, 3.434]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(5.177, 5.858]","(3.434, 4.052]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(4.496, 5.177]","(2.817, 3.434]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(4.496, 5.177]","(2.817, 3.434]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(3.815, 4.496]","(2.817, 3.434]","(0.00187, 1.171]","(0.00664, 0.49]",Iris-setosa,False
"(5.177, 5.858]","(3.434, 4.052]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(5.177, 5.858]","(4.052, 4.669]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(5.177, 5.858]","(3.434, 4.052]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(4.496, 5.177]","(3.434, 4.052]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(5.177, 5.858]","(3.434, 4.052]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(4.496, 5.177]","(3.434, 4.052]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(5.177, 5.858]","(2.817, 3.434]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(4.496, 5.177]","(3.434, 4.052]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
"(4.496, 5.177]","(3.434, 4.052]","(0.00187, 1.171]","(0.00664, 0.49]",Iris-setosa,False
"(4.496, 5.177]","(2.817, 3.434]","(1.171, 2.332]","(0.00664, 0.49]",Iris-setosa,False
