SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Druh,IsOutlier
"(5.096, 5.867]","(3.371, 3.714]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(2.686, 3.029]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.029, 3.371]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.029, 3.371]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.371, 3.714]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.371, 3.714]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.371, 3.714]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(2.686, 3.029]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.029, 3.371]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(5.096, 5.867]","(3.371, 3.714]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.371, 3.714]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(2.686, 3.029]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(3.555, 4.326]","(2.686, 3.029]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(5.096, 5.867]","(3.714, 4.057]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(5.096, 5.867]","(4.057, 4.4]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(5.096, 5.867]","(3.714, 4.057]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(5.096, 5.867]","(3.371, 3.714]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(5.096, 5.867]","(3.714, 4.057]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(5.096, 5.867]","(3.371, 3.714]","(1.64, 2.517]","(0.00654, 0.504]",Iris-setosa,False
"(5.096, 5.867]","(3.371, 3.714]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.371, 3.714]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.371, 3.714]","(1.64, 2.517]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(2.686, 3.029]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.371, 3.714]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(5.096, 5.867]","(3.371, 3.714]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(5.096, 5.867]","(3.371, 3.714]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.029, 3.371]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.029, 3.371]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(5.096, 5.867]","(3.371, 3.714]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(5.096, 5.867]","(4.057, 4.4]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(5.096, 5.867]","(4.057, 4.4]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.029, 3.371]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.029, 3.371]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(5.096, 5.867]","(3.371, 3.714]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.029, 3.371]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(2.686, 3.029]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(5.096, 5.867]","(3.371, 3.714]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.371, 3.714]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(1.998, 2.343]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.029, 3.371]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.371, 3.714]","(0.757, 1.64]","(0.504, 0.998]",Iris-setosa,False
"(4.326, 5.096]","(2.686, 3.029]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(5.096, 5.867]","(3.714, 4.057]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.029, 3.371]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(5.096, 5.867]","(3.371, 3.714]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(4.326, 5.096]","(3.029, 3.371]","(0.757, 1.64]","(0.00654, 0.504]",Iris-setosa,False
"(5.867, 6.637]","(3.029, 3.371]","(4.27, 5.147]","(1.492, 1.986]",Iris-versicolor,False
"(6.637, 7.408]","(3.029, 3.371]","(4.27, 5.147]","(1.492, 1.986]",Iris-versicolor,False
"(5.096, 5.867]","(1.998, 2.343]","(3.393, 4.27]","(0.998, 1.492]",Iris-versicolor,False
"(5.867, 6.637]","(2.686, 3.029]","(4.27, 5.147]","(1.492, 1.986]",Iris-versicolor,False
