SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Druh,IsOutlier
"(4.874, 5.823]","(2.919, 3.551]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(2.919, 3.551]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(3.925, 4.874]","(2.919, 3.551]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(3.925, 4.874]","(2.919, 3.551]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(3.551, 4.183]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(3.551, 4.183]","(1.561, 3.113]","(0.00628, 0.541]",Iris-setosa,False
"(3.925, 4.874]","(2.919, 3.551]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(2.919, 3.551]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(3.925, 4.874]","(2.287, 2.919]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(2.919, 3.551]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(3.551, 4.183]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(3.925, 4.874]","(2.919, 3.551]","(1.561, 3.113]","(0.00628, 0.541]",Iris-setosa,False
"(3.925, 4.874]","(2.919, 3.551]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(3.925, 4.874]","(2.919, 3.551]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(3.551, 4.183]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(4.183, 4.815]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(3.551, 4.183]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(2.919, 3.551]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(3.551, 4.183]","(1.561, 3.113]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(3.551, 4.183]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(2.919, 3.551]","(1.561, 3.113]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(3.551, 4.183]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(3.925, 4.874]","(3.551, 4.183]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(2.919, 3.551]","(1.561, 3.113]","(0.00628, 0.541]",Iris-setosa,False
"(3.925, 4.874]","(2.919, 3.551]","(1.561, 3.113]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(2.919, 3.551]","(1.561, 3.113]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(2.919, 3.551]","(1.561, 3.113]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(2.919, 3.551]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(2.919, 3.551]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(3.925, 4.874]","(2.919, 3.551]","(1.561, 3.113]","(0.00628, 0.541]",Iris-setosa,False
"(3.925, 4.874]","(2.919, 3.551]","(1.561, 3.113]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(2.919, 3.551]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(3.551, 4.183]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(4.183, 4.815]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
"(4.874, 5.823]","(2.919, 3.551]","(-0.00086, 1.561]","(0.00628, 0.541]",Iris-setosa,False
