SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Druh,IsOutlier
"(4.814, 5.329]","(3.303, 3.669]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(2.937, 3.303]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.296, 4.814]","(2.937, 3.303]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.296, 4.814]","(2.937, 3.303]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(3.303, 3.669]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(5.329, 5.843]","(3.669, 4.034]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.296, 4.814]","(3.303, 3.669]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(3.303, 3.669]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.296, 4.814]","(2.572, 2.937]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(2.937, 3.303]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(5.329, 5.843]","(3.669, 4.034]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.296, 4.814]","(3.303, 3.669]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.296, 4.814]","(2.937, 3.303]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.296, 4.814]","(2.937, 3.303]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(5.329, 5.843]","(3.669, 4.034]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(5.329, 5.843]","(4.034, 4.4]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(5.329, 5.843]","(3.669, 4.034]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(3.303, 3.669]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(5.329, 5.843]","(3.669, 4.034]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(3.669, 4.034]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(5.329, 5.843]","(3.303, 3.669]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(3.669, 4.034]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.296, 4.814]","(3.303, 3.669]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(2.937, 3.303]","(0.994, 1.843]","(0.483, 0.866]",Iris-setosa,False
"(4.296, 4.814]","(3.303, 3.669]","(1.843, 2.686]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(2.937, 3.303]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(3.303, 3.669]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(3.303, 3.669]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(3.303, 3.669]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.296, 4.814]","(2.937, 3.303]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.296, 4.814]","(2.937, 3.303]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(5.329, 5.843]","(3.303, 3.669]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(4.034, 4.4]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(5.329, 5.843]","(4.034, 4.4]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(2.937, 3.303]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(2.937, 3.303]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(5.329, 5.843]","(3.303, 3.669]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(2.937, 3.303]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.296, 4.814]","(2.937, 3.303]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(3.303, 3.669]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(3.303, 3.669]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.296, 4.814]","(2.206, 2.572]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.296, 4.814]","(2.937, 3.303]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(3.303, 3.669]","(0.994, 1.843]","(0.483, 0.866]",Iris-setosa,False
"(4.814, 5.329]","(3.669, 4.034]","(1.843, 2.686]","(0.0973, 0.483]",Iris-setosa,False
"(4.296, 4.814]","(2.937, 3.303]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(3.669, 4.034]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.296, 4.814]","(2.937, 3.303]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(3.669, 4.034]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(4.814, 5.329]","(2.937, 3.303]","(0.994, 1.843]","(0.0973, 0.483]",Iris-setosa,False
"(6.871, 7.386]","(2.937, 3.303]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(6.357, 6.871]","(2.937, 3.303]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(6.871, 7.386]","(2.937, 3.303]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(5.329, 5.843]","(2.206, 2.572]","(3.529, 4.371]","(1.249, 1.631]",Iris-versicolor,False
"(6.357, 6.871]","(2.572, 2.937]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(5.329, 5.843]","(2.572, 2.937]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(5.843, 6.357]","(2.937, 3.303]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(6.357, 6.871]","(2.572, 2.937]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(4.814, 5.329]","(2.572, 2.937]","(3.529, 4.371]","(1.249, 1.631]",Iris-versicolor,False
"(5.843, 6.357]","(2.937, 3.303]","(3.529, 4.371]","(1.249, 1.631]",Iris-versicolor,False
"(5.843, 6.357]","(2.572, 2.937]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(5.329, 5.843]","(2.572, 2.937]","(3.529, 4.371]","(1.249, 1.631]",Iris-versicolor,False
"(6.357, 6.871]","(2.937, 3.303]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(5.329, 5.843]","(2.937, 3.303]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(5.329, 5.843]","(2.572, 2.937]","(3.529, 4.371]","(0.866, 1.249]",Iris-versicolor,False
"(5.843, 6.357]","(1.838, 2.206]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(5.843, 6.357]","(2.937, 3.303]","(4.371, 5.214]","(1.631, 2.014]",Iris-versicolor,False
"(5.843, 6.357]","(2.572, 2.937]","(3.529, 4.371]","(1.249, 1.631]",Iris-versicolor,False
"(5.843, 6.357]","(2.206, 2.572]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(5.843, 6.357]","(2.572, 2.937]","(4.371, 5.214]","(0.866, 1.249]",Iris-versicolor,False
"(6.357, 6.871]","(2.572, 2.937]","(3.529, 4.371]","(1.249, 1.631]",Iris-versicolor,False
"(6.357, 6.871]","(2.937, 3.303]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(6.357, 6.871]","(2.572, 2.937]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(6.357, 6.871]","(2.937, 3.303]","(4.371, 5.214]","(1.631, 2.014]",Iris-versicolor,False
"(5.843, 6.357]","(2.572, 2.937]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(5.329, 5.843]","(2.572, 2.937]","(2.686, 3.529]","(0.866, 1.249]",Iris-versicolor,False
"(5.329, 5.843]","(2.572, 2.937]","(3.529, 4.371]","(0.866, 1.249]",Iris-versicolor,False
"(5.843, 6.357]","(2.572, 2.937]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(5.329, 5.843]","(2.937, 3.303]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(5.843, 6.357]","(3.303, 3.669]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(6.357, 6.871]","(2.937, 3.303]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(5.843, 6.357]","(2.206, 2.572]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(5.329, 5.843]","(2.937, 3.303]","(3.529, 4.371]","(1.249, 1.631]",Iris-versicolor,False
"(5.329, 5.843]","(2.206, 2.572]","(3.529, 4.371]","(1.249, 1.631]",Iris-versicolor,False
"(5.329, 5.843]","(2.572, 2.937]","(4.371, 5.214]","(0.866, 1.249]",Iris-versicolor,False
"(5.843, 6.357]","(2.937, 3.303]","(4.371, 5.214]","(1.249, 1.631]",Iris-versicolor,False
"(5.329, 5.843]","(2.572, 2.937]","(3.529, 4.371]","(0.866, 1.249]",Iris-versicolor,False
"(5.329, 5.843]","(2.572, 2.937]","(3.529, 4.371]","(1.249, 1.631]",Iris-versicolor,False
"(5.329, 5.843]","(2.937, 3.303]","(3.529, 4.371]","(0.866, 1.249]",Iris-versicolor,False
"(5.329, 5.843]","(2.572, 2.937]","(3.529, 4.371]","(1.249, 1.631]",Iris-versicolor,False
"(5.843, 6.357]","(2.572, 2.937]","(3.529, 4.371]","(1.249, 1.631]",Iris-versicolor,False
"(5.329, 5.843]","(2.572, 2.937]","(3.529, 4.371]","(1.249, 1.631]",Iris-versicolor,False
"(5.843, 6.357]","(2.937, 3.303]","(5.214, 6.057]","(2.397, 2.78]",Iris-virginica,False
"(5.329, 5.843]","(2.572, 2.937]","(4.371, 5.214]","(1.631, 2.014]",Iris-virginica,False
